"XML Type","collection","series","subseries","box","folder","item","title","date","size","restricted?","handle","Accession Number","Handwritten or typed?","handwritten or typed controlled","Onionskin?","Column","filename","label","rank","creator","continent","country","region","settlement","umdm pid","umam pid","TEI"
"UMDM","Paul Porter papers","1","","3","4","23","Katherine Anne Porter to Paul Porter Jr., after 1954-09-26","after 1954-09-26","2","","http://hdl.handle.net/1903.1/1531","82-18","hw","handwritten","","picture postcard","litmss-023314-0001","KAPtoPPJ-c1954-09-26-p0001","1","Porter, Katherine Anne, 1890-1980","Europe","Belgium","Wallonia","Liège","","",""
"UMAM","Paul Porter papers","1","","3","4","23","Katherine Anne Porter to Paul Porter Jr., after 1954-09-26","after 1954-09-26","2","","http://hdl.handle.net/1903.1/1531","82-18","hw","handwritten","","picture postcard","litmss-023314-0001","KAPtoPPJ-c1954-09-26-p0001","1","Porter, Katherine Anne, 1890-1980","Europe","Belgium","Wallonia","Liège","","",""
"UMAM","Paul Porter papers","1","","3","4","23","Katherine Anne Porter to Paul Porter Jr., after 1954-09-26","after 1954-09-26","","","http://hdl.handle.net/1903.1/1531","82-18","","","","","litmss-023314-0002","KAPtoPPJ-c1954-09-26-p0002","2","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMDM","Paul Porter papers","1","","3","4","24","Katherine Anne Porter to Paul Porter Jr., circa 1954-10","circa 1954-10","2","","http://hdl.handle.net/1903.1/1531","82-18","typed - printed","typed, printed material","","postcard","litmss-022319-0001","KAPtoPPJ-c1954-10-00-p0001","1","Porter, Katherine Anne, 1890-1980","Europe","Belgium","Wallonia","Liège","","",""
"UMAM","Paul Porter papers","1","","3","4","24","Katherine Anne Porter to Paul Porter Jr., circa 1954-10","circa 1954-10","2","","http://hdl.handle.net/1903.1/1531","82-18","typed - printed","typed, printed material","","postcard","litmss-022319-0001","KAPtoPPJ-c1954-10-00-p0001","1","Porter, Katherine Anne, 1890-1980","Europe","Belgium","Wallonia","Liège","","",""
"UMAM","Paul Porter papers","1","","3","4","24","Katherine Anne Porter to Paul Porter Jr., circa 1954-10","circa 1954-10","","","http://hdl.handle.net/1903.1/1531","82-18","","","","","litmss-022319-0002","KAPtoPPJ-c1954-10-00-p0002","2","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMDM","Paul Porter papers","1","","3","4","25","Katherine Anne Porter to Paul Porter Jr., 1954-10-16","1954-10-16","2","","http://hdl.handle.net/1903.1/1531","82-18","typed, hw note","typed, handwritten notes","","picture postcard","litmss-022320-0001","KAPtoPPJ-1954-10-16-p0001","1","Porter, Katherine Anne, 1890-1980","Europe","Belgium","Wallonia","Liège","","",""
"UMAM","Paul Porter papers","1","","3","4","25","Katherine Anne Porter to Paul Porter Jr., 1954-10-16","1954-10-16","2","","http://hdl.handle.net/1903.1/1531","82-18","typed, hw note","typed, handwritten notes","","picture postcard","litmss-022320-0001","KAPtoPPJ-1954-10-16-p0001","1","Porter, Katherine Anne, 1890-1980","Europe","Belgium","Wallonia","Liège","","",""
"UMAM","Paul Porter papers","1","","3","4","25","Katherine Anne Porter to Paul Porter Jr., 1954-10-16","1954-10-16","","","http://hdl.handle.net/1903.1/1531","82-18","","","","","litmss-022320-0002","KAPtoPPJ-1954-10-16-p0002","2","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMDM","Paul Porter papers","1","","3","4","27","Katherine Anne Porter to Paul Porter Jr., 1955-01-15","1955-01-15","2","","http://hdl.handle.net/1903.1/1531","82-18","hw","handwritten","","picture postcard","litmss-022321-0001","KAPtoPPJ-1955-01-15-p0001","1","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMAM","Paul Porter papers","1","","3","4","27","Katherine Anne Porter to Paul Porter Jr., 1955-01-15","1955-01-15","2","","http://hdl.handle.net/1903.1/1531","82-18","hw","handwritten","","picture postcard","litmss-022321-0001","KAPtoPPJ-1955-01-15-p0001","1","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMAM","Paul Porter papers","1","","3","4","27","Katherine Anne Porter to Paul Porter Jr., 1955-01-15","1955-01-15","","","http://hdl.handle.net/1903.1/1531","82-18","","","","","litmss-022321-0002","KAPtoPPJ-1955-01-15-p0002","2","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMDM","Paul Porter papers","1","","3","4","28","Katherine Anne Porter to Paul Porter Jr., 1955-01-28","1955-01-28","2","","http://hdl.handle.net/1903.1/1531","82-18","hw","handwritten","","picture postcard","litmss-022322-0001","KAPtoPPJ-1955-01-28-p0001","1","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMAM","Paul Porter papers","1","","3","4","28","Katherine Anne Porter to Paul Porter Jr., 1955-01-28","1955-01-28","2","","http://hdl.handle.net/1903.1/1531","82-18","hw","handwritten","","picture postcard","litmss-022322-0001","KAPtoPPJ-1955-01-28-p0001","1","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMAM","Paul Porter papers","1","","3","4","28","Katherine Anne Porter to Paul Porter Jr., 1955-01-28","1955-01-28","","","http://hdl.handle.net/1903.1/1531","82-18","","","","","litmss-022322-0002","KAPtoPPJ-1955-01-28-p0002","2","Porter, Katherine Anne, 1890-1980","","","","","","",""
